Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-02-28,1699.0,1705.0,1677.5,1576.0452708333776,1677.5,9686700,6752,1644.25,1651.5035922837367,1643.120690300824,107.36000000000001,1711.0560625991375,1577.4439374008625,-5.978182332403321,-0.5948247857471011,56.43421996998839,90.47619047619048,89.7830848555414,1576.0452708333776,
2018-03-01,1660.0,1666.5,1641.5,1586.4816491667073,1651.0,9140200,6752,1651.7,1651.4119934880805,1643.9217776917992,104.7256581033936,1700.9264156728875,1602.4735843271126,-4.924467968502995,-1.9338308870283578,50.87594257161872,81.75740210124164,88.3533816799863,1586.4816491667073,
2018-03-02,1620.0,1630.0,1599.5,1596.0831172333708,1620.5,9797800,6752,1653.35,1645.7897949237777,1641.5444610841266,101.0286783042394,1696.8426430560378,1609.857356943962,-2.657125516812357,-2.6330179052483293,45.340837409364205,66.56862745098039,79.60074000947084,1596.0831172333708,
2018-03-05,1602.5,1611.5,1596.0,1706.5,1606.0,7633400,6752,1649.0,1638.5533531503413,1637.942093418413,97.36283722340103,1701.026916110797,1596.973083889203,-0.3731059674607877,-2.7931581028547803,42.948542664645196,51.25881168177241,66.52828041133148,,1706.5
2018-03-06,1640.0,1652.5,1624.0,1611.5,1624.0,6918100,6752,1646.25,1635.9067103284979,1636.5309896148594,98.33484710868908,1700.3244856656065,1592.1755143343935,0.3562364262570554,-2.695675321513262,46.70760537346004,41.77489177489178,53.200776969214864,,1611.5
2018-03-07,1610.0,1632.5,1606.0,1596.0,1611.0,6709600,6752,1642.6,1631.3774073758689,1633.950080679097,97.78452200303491,1700.6272349849608,1584.572765015039,1.4377558437477092,-2.482126288848071,44.43066742255614,33.45280764635603,42.16217036767341,1596.0,
2018-03-08,1625.0,1626.0,1606.0,1596.73,1611.5,5020100,6752,1641.4,1627.7628043109291,1631.6830879108647,99.2608561749307,1701.4196634445736,1581.3803365554265,2.1027668467991134,-2.0820974499954445,44.54264577547583,25.815217391304344,33.680972270850724,1596.73,
2018-03-09,1635.0,1662.0,1625.5,1597.4454,1635.0,11526500,6752,1640.25,1629.0788156528065,1632.0176995983966,99.30154873975098,1700.2754112855537,1580.2245887144463,1.4055025703542015,-1.566145202547255,49.6755211734033,22.599704579025108,27.28924320556183,1597.4454,
2018-03-12,1682.0,1684.5,1665.0,1600.0275840000002,1679.5,9721600,6752,1641.15,1638.2472019402735,1636.8035230822663,100.5387608500449,1703.1984488121973,1579.101551187803,-1.1607719053404253,-1.0879324448179786,57.66592118902776,41.6289592760181,30.01462708211585,1600.0275840000002,
2018-03-13,1680.0,1692.0,1671.0,1605.09592896,1692.0,8771600,6752,1640.8,1648.0212214077285,1642.3624705900124,99.79357121792981,1701.6460352036174,1579.9539647963825,-3.438692396819988,-0.8057668964198305,59.60609126034084,65.91251885369532,43.38039423624617,1605.09592896,
2018-03-14,1674.0,1692.0,1672.0,1612.0482546432,1688.5,7408000,6752,1641.9,1655.3814820418877,1647.0057673678182,100.65573770491802,1705.6868324969964,1578.1131675030038,-4.7136997814029655,-0.7823482089642716,58.79359306720916,82.05128205128204,63.19758672699848,1612.0482546432,
2018-03-15,1675.0,1694.0,1674.5,1618.444394271744,1689.0,5510900,6752,1645.7,1661.4942678575326,1651.2293767793371,102.30163537250152,1715.4512723898274,1575.9487276101727,-5.454947501525794,-1.0932173183768756,58.8798260378002,84.91704374057315,77.6269482151835,1618.444394271744,
